Release Date,Release Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
10/20/2021,Parole,G2,M,White,69,Houston,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/15/2020,10/26/2017,2 Years & Less
11/08/2021,SAFPF - Prob,FT,M,Black,70,Dallas,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",,10/13/2020,SAFPF
05/11/2022,Discharge,J2,M,Black,73,Victoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/26/2021,11/19/2019,11 to 12 Months
02/01/2022,Discharge,J2,M,Black,72,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",07/01/2021,02/23/2021,11 to 12 Months
04/25/2022,Parole,G2,M,Black,66,Angelina,23190000,Property,LARCENY-THEFT OF PERSON,11/05/1992,09/11/1992,31 to 40 Years
06/02/2022,Parole,DP,M,White,69,Hopkins,23990010,Property,THEFT PROP >=$20K<$100K,11/29/2016,01/12/2012,11 to 15 Years
02/08/2022,Parole,IT,M,Black,67,Travis,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/09/2017,06/01/2016,8 Years
01/28/2022,Parole,OT,M,White,67,Johnson,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,01/30/2017,10/03/2015,21 to 25 Years
05/27/2022,Parole,G2,M,Black,66,Ellis,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",08/12/1999,02/11/1998,16 to 20 Years
11/09/2021,Parole,G2,M,Black,67,Montgomery,23990198,Property,THEFT PROP >=$30K<$150K,06/07/2019,07/20/2018,7 Years
09/27/2021,DMS,G2,M,Black,66,Jefferson,23990194,Property,"THEFT PROP >=$2,500<$30K",01/20/2021,11/26/2019,2 Years & Less
12/03/2021,DMS,G2,M,Black,65,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/17/2021,08/02/2020,2 Years & Less
06/22/2022,Discharge,J2,M,Black,68,Fannin,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/23/2022,09/04/2020,11 to 12 Months
11/29/2021,Parole,G2,M,Black,65,Ellis,23990010,Property,THEFT PROP >=$20K<$100K,12/07/2017,12/10/2014,11 to 15 Years
05/20/2022,Discharge,J2,M,Black,63,Montgomery,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/11/2022,10/05/2021,6 Months & Less
10/29/2021,Discharge,J1,M,White,66,Guadalupe,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",09/01/2020,09/20/2018,11 to 12 Months
02/11/2022,Discharge,J2,M,Black,65,Taylor,23990194,Property,"THEFT PROP >=$2,500<$30K",05/22/2019,07/26/2018,23 to 24 Months & More
12/17/2021,Discharge,J2,M,Hispanic,63,Nueces,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/27/2021,08/22/2020,15 to 16 Months
01/07/2022,Parole,MD,M,Hispanic,63,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/10/2019,07/07/2019,3 Years
10/01/2021,Discharge,J2,M,Black,63,Jefferson,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",05/05/2021,11/20/2020,8 to 9 Months
10/15/2021,Discharge,J2,M,Hispanic,63,Bexar,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",07/02/2020,03/15/2019,8 to 9 Months
07/21/2022,Discharge,J2,F,Hispanic,63,Ector,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/18/2021,07/30/2020,8 to 9 Months
04/11/2022,DMS,G2,M,White,64,Galveston,23990013,Property,THEFT PROP>=$200K,06/03/2019,10/13/2013,5 Years
10/13/2021,Parole,G2,M,Black,67,Denton,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",10/19/1989,08/16/1989,21 to 25 Years
01/21/2022,Discharge,G2,M,White,64,Midland,23990162,Property,THEFT PROP >=$20K<$100K ENH,02/28/2013,10/27/2011,9 Years
09/03/2021,DMS,G1,M,White,61,Tarrant,23990154,Property,THEFT OF FIREARM ENH IAT,03/26/2019,10/24/2018,6 Years
12/08/2021,Discharge,J2,M,Hispanic,62,Williamson,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/23/2021,09/12/2020,14 to 15 Months
08/16/2022,Parole,G1,M,White,62,Potter,23990010,Property,THEFT PROP >=$20K<$100K,04/25/2007,10/29/2006,21 to 25 Years
02/09/2022,Discharge,J2,M,Hispanic,61,Lubbock,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",04/06/2021,01/18/2021,15 to 16 Months
10/29/2021,Discharge,G4,F,Black,63,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",03/03/2020,11/01/2019,2 Years & Less
12/17/2021,Parole,G2,M,Black,63,Rockwall,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",02/07/1996,08/12/1992,60 Years +
02/09/2022,Discharge,J2,M,Black,64,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/31/2021,07/08/2020,7 to 8 Months
06/24/2022,Discharge,J2,M,White,65,Montgomery,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/27/2022,03/16/2019,6 Months & Less
03/14/2022,Parole,OT,M,White,63,Leon,23990194,Property,"THEFT PROP >=$2,500<$30K",08/13/2019,04/18/2018,10 Years
06/02/2022,Discharge,J2,M,White,61,Bowie,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/21/2021,12/02/2020,13 to 14 Months
09/08/2021,Discharge,J2,M,Hispanic,60,San Patricio,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/24/2020,02/12/2020,11 to 12 Months
03/17/2022,Discharge,J2,M,White,65,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/03/2021,08/30/2019,6 Months & Less
04/13/2022,Discharge,J2,M,Hispanic,60,San Patricio,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/20/2021,03/06/2021,11 to 12 Months
07/25/2022,Parole,G2,M,Black,62,Hays,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/03/2021,05/08/2020,7 Years
03/17/2022,DMS,G1,M,White,61,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",05/17/2021,04/29/2021,2 Years & Less
06/24/2022,DMS,G2,M,Black,61,Nacogdoches,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/19/2019,08/25/2019,5 Years
08/04/2022,Parole,MD,M,Black,68,Smith,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/10/2022,11/17/2020,4 Years
04/26/2022,Parole,G2,M,White,62,Smith,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/14/2019,07/16/2018,11 to 15 Years
01/06/2022,Parole,G1,M,Black,60,Harris,24040000,Property,"STOLEN VEHICLE, THEFT",03/31/1992,12/17/1990,60 Years +
01/12/2022,Discharge,J2,M,Hispanic,61,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/01/2021,04/06/2021,9 to 10 Months
07/08/2022,Parole,G2,M,Black,60,Dallas,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",01/14/2003,02/18/2002,16 to 20 Years
12/14/2021,Discharge,J2,M,Hispanic,62,Taylor,23990004,Property,"THEFT PROP>=$1,500<$20K",02/05/2016,03/24/2013,14 to 15 Months
06/17/2022,Discharge,J2,M,Black,61,Lamar,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/28/2021,04/19/2020,11 to 12 Months
06/09/2022,Parole,G2,M,Black,60,Harris,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",02/22/1993,08/31/1991,31 to 40 Years
06/06/2022,Discharge,J2,M,White,60,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/17/2022,07/11/2021,7 to 8 Months
07/27/2022,Parole,G2,M,Black,61,Smith,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/17/2020,05/05/2019,8 Years
05/13/2022,Discharge,J2,M,White,60,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/14/2021,07/12/2021,6 Months & Less
11/01/2021,SAFPF - Prl,FT,M,White,59,Harris,23990010,Property,THEFT PROP >=$20K<$100K,10/03/2014,07/28/2014,SAFPF
10/20/2021,DMS,G2,M,White,59,Harris,23990194,Property,"THEFT PROP >=$2,500<$30K",03/02/2020,10/10/2019,3 Years
10/15/2021,Discharge,J2,M,Hispanic,61,Lubbock,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/22/2019,03/20/2018,23 to 24 Months & More
09/17/2021,Discharge,S1,M,Hispanic,61,Harris,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",09/21/2018,01/15/2018,3 Years
10/04/2021,Discharge,J2,F,Black,61,Navarro,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",04/13/2021,05/03/2020,8 to 9 Months
03/23/2022,Discharge,J2,M,Black,60,Montgomery,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/04/2021,10/06/2021,6 Months & Less
07/22/2022,DMS,G2,M,White,69,Hays,23990198,Property,THEFT PROP >=$30K<$150K,02/28/2022,01/09/2020,3 Years
04/20/2022,Discharge,J2,M,White,60,Victoria,23990132,Property,THEFT FROM PERSON,02/16/2022,04/23/2021,11 to 12 Months
01/21/2022,Discharge,J2,M,Hispanic,63,Wharton,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",04/20/2021,01/24/2021,13 to 14 Months
11/23/2021,Discharge,J2,M,Hispanic,60,Hidalgo,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",08/11/2021,04/07/2021,8 to 9 Months
04/01/2022,Parole,G2,M,Black,59,Dallas,23210000,Property,LARCENY-THEFT OF PROPERTY,08/10/1992,08/30/1991,26 to 30 Years
08/18/2022,Parole,G1,M,Black,60,Dallas,23990209,Property,THEFT PROP <$2500 2+ CONV ENH IAT,06/28/2017,04/20/2017,6 Years
11/18/2021,DMS,G1,M,Black,60,Tarrant,23990180,Property,"THEFT OF SERV >=$2,500<$30K",12/10/2018,09/01/2016,5 Years
04/22/2022,Discharge,J2,M,White,59,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/16/2021,04/25/2021,11 to 12 Months
06/24/2022,Parole,G2,M,White,59,Hood,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",12/21/2015,08/28/2014,11 to 15 Years
05/27/2022,Discharge,J2,F,Hispanic,64,Montgomery,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/07/2021,05/27/2019,12 to 13 Months
04/08/2022,Discharge,J2,M,Black,68,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/02/2021,04/11/2021,11 to 12 Months
03/02/2022,Parole,PR,M,White,59,Leon,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",08/19/1994,07/01/1993,21 to 25 Years
12/15/2021,Discharge,J2,M,Black,62,Smith,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/24/2020,12/17/2019,23 to 24 Months & More
11/05/2021,Discharge,J2,M,Black,62,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/14/2020,07/11/2020,15 to 16 Months
06/13/2022,Discharge,J2,M,Black,59,Midland,23990004,Property,"THEFT PROP>=$1,500<$20K",07/24/2014,08/23/2013,11 to 12 Months
05/04/2022,Parole,G2,M,White,58,Brazoria,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",10/24/2012,01/20/2012,11 to 15 Years
04/05/2022,Parole,G2,M,White,59,Denton,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/16/2021,01/22/2018,2 Years & Less
08/12/2022,Discharge,G2,M,Black,65,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/23/2020,08/13/2019,2 Years & Less
02/15/2022,DMS,G2,M,Black,62,McLennan,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",10/13/2010,10/24/2009,7 Years
05/10/2022,Discharge,J2,M,Black,58,Washington,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/03/2022,05/04/2020,8 to 9 Months
07/01/2022,DMS,G1,M,White,61,Van Zandt,23990194,Property,"THEFT PROP >=$2,500<$30K",04/27/2017,07/11/2016,11 to 15 Years
10/04/2021,Parole,PR,M,Black,63,Smith,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",10/13/2010,04/21/2010,21 to 25 Years
03/08/2022,Parole,G1,M,White,58,Fort Bend,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",07/23/1992,10/03/1990,31 to 40 Years
06/10/2022,Discharge,J2,M,Black,62,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/07/2022,06/24/2021,6 Months & Less
02/08/2022,Parole,G2,M,Black,60,Gregg,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/27/2020,11/04/2019,7 Years
07/25/2022,Discharge,J2,M,Hispanic,58,Hays,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/02/2021,12/31/2019,11 to 12 Months
10/11/2021,Parole,G2,M,White,57,Denton,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",02/22/1990,09/20/1989,60 Years +
02/23/2022,Parole,G2,M,Hispanic,57,Bexar,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",03/05/1990,08/28/1989,26 to 30 Years
06/24/2022,Parole,S1,M,Black,57,Victoria,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",05/24/1982,01/13/1982,Life
09/23/2021,Parole,G2,M,Black,57,Harris,24040000,Property,"STOLEN VEHICLE, THEFT",06/08/1987,11/04/1986,41 to 59 Years
07/29/2022,Discharge,J2,M,Black,59,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",05/05/2022,08/17/2021,8 to 9 Months
03/16/2022,Discharge,MD,M,White,58,Brazos,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/27/2021,10/20/2020,14 to 15 Months
01/25/2022,Discharge,J2,F,Black,58,Midland,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",05/06/2021,07/06/2020,8 to 9 Months
09/03/2021,Parole,G2,M,Black,60,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",02/21/2020,10/15/2019,4 Years
03/04/2022,Parole,G1,M,White,61,Bee,23990194,Property,"THEFT PROP >=$2,500<$30K",10/24/2019,01/26/2017,10 Years
09/07/2021,Parole,G1,M,White,57,Dallas,23210000,Property,LARCENY-THEFT OF PROPERTY,03/23/1993,06/13/1991,21 to 25 Years
11/15/2021,MS,G2,M,White,56,Harris,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",02/06/1995,05/16/1993,21 to 25 Years
05/04/2022,Discharge,J2,M,White,58,Brazoria,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/03/2022,04/17/2021,8 to 9 Months
08/08/2022,MS,P2,M,White,60,Harris,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",07/03/1991,07/12/1990,26 to 30 Years
01/21/2022,Discharge,J2,M,Hispanic,57,Harris,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,04/08/2021,11/05/2019,11 to 12 Months
04/18/2022,Discharge,J2,F,Black,58,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",02/28/2022,06/23/2021,9 to 10 Months
10/05/2021,Discharge,J2,M,Black,63,Collin,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",06/17/2021,04/09/2021,6 Months & Less
02/11/2022,Parole,MD,M,Black,63,Harris,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/10/2021,07/21/2020,2 Years & Less
03/01/2022,SAFPF - Prob,FT,F,Black,57,Nacogdoches,23990132,Property,THEFT FROM PERSON,,05/16/2020,SAFPF
02/25/2022,Discharge,J2,M,Hispanic,56,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/08/2021,04/30/2021,6 Months & Less
06/30/2022,Parole,MD,M,Black,57,Anderson,23990004,Property,"THEFT PROP>=$1,500<$20K",01/26/2011,10/09/2007,60 Years +
12/30/2021,Discharge,J2,M,Black,63,Coryell,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/23/2021,05/02/2020,11 to 12 Months
06/21/2022,Parole,G2,M,Black,58,Harris,23990198,Property,THEFT PROP >=$30K<$150K,12/13/2021,12/26/2020,2 Years & Less
04/22/2022,Parole,G2,M,White,61,Hood,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/14/2017,05/02/2016,11 to 15 Years
11/19/2021,Discharge,J2,M,Black,57,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",09/09/2021,05/28/2021,6 Months & Less
12/02/2021,Parole,G2,F,Black,62,Wharton,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",05/08/2017,09/22/2016,2 Years & Less
05/12/2022,Parole,G2,M,Black,57,Harris,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",07/06/1993,07/01/1993,21 to 25 Years
01/05/2022,Discharge,J2,M,Hispanic,63,Hidalgo,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/20/2021,05/17/2021,8 to 9 Months
07/27/2022,Discharge,G4,M,Black,60,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/19/2020,07/27/2020,2 Years & Less
11/05/2021,DMS,MD,M,White,57,Denton,23990194,Property,"THEFT PROP >=$2,500<$30K",05/29/2019,07/27/2018,5 Years
11/04/2021,Parole,G2,M,White,56,Taylor,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,06/09/2021,05/06/2018,5 Years
10/26/2021,Parole,G2,M,Black,55,Dallas,23990004,Property,"THEFT PROP>=$1,500<$20K",03/07/2011,06/24/2009,11 to 15 Years
04/13/2022,Discharge,G2,M,Black,56,Dallas,23990004,Property,"THEFT PROP>=$1,500<$20K",03/07/2011,06/24/2009,11 to 15 Years
01/11/2022,Parole,G2,M,White,59,Smith,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/28/2020,05/02/2020,4 Years
10/05/2021,DMS,G2,M,Black,58,Gregg,23990194,Property,"THEFT PROP >=$2,500<$30K",08/03/2021,07/23/2020,2 Years & Less
10/11/2021,Discharge,J2,M,White,56,McLennan,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/09/2020,12/11/2019,17 to 18 Months
12/03/2021,Discharge,J2,M,White,56,Hays,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/07/2021,03/28/2020,11 to 12 Months
02/18/2022,Discharge,G5,M,White,56,Gray,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",05/28/2020,02/18/2020,2 Years & Less
11/22/2021,Discharge,G2,F,Black,58,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",12/09/2019,09/10/2019,2 Years & Less
03/08/2022,Parole,IT,M,White,57,Cooke,23990011,Property,THEFT PROP>=$100K<$200K,06/06/2006,08/09/2005,11 to 15 Years
08/12/2022,DMS,G2,M,Black,70,Smith,23990194,Property,"THEFT PROP >=$2,500<$30K",05/13/2022,07/18/2021,2 Years & Less
10/05/2021,Discharge,J2,M,Black,57,Collin,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",06/10/2021,01/19/2021,8 to 9 Months
03/18/2022,Discharge,J2,M,White,58,Bexar,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/24/2021,03/09/2020,8 to 9 Months
04/15/2022,Discharge,J2,M,Black,55,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/03/2021,06/20/2021,10 to 11 Months
12/03/2021,Discharge,J2,M,Black,61,Harrison,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/20/2021,08/17/2020,11 to 12 Months
02/15/2022,DMS,G2,M,Black,61,Harris,23990011,Property,THEFT PROP>=$100K<$200K,06/24/2008,06/08/2008,11 to 15 Years
08/31/2022,Discharge,J2,M,Black,58,McLennan,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/26/2021,01/13/2021,14 to 15 Months
08/08/2022,Discharge,RP,M,Hispanic,56,Bexar,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/11/2022,05/30/2017,2 Years & Less
10/29/2021,Parole,G2,M,Black,55,Taylor,23210000,Property,LARCENY-THEFT OF PROPERTY,02/04/1994,01/18/1993,26 to 30 Years
03/10/2022,DMS,G1,M,White,57,San Patricio,23990176,Property,THEFT PROP >=$100K<$200K,01/31/2014,06/23/2013,9 Years
05/26/2022,Discharge,J2,M,Black,61,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/26/2021,08/08/2021,11 to 12 Months
08/08/2022,Discharge,J2,M,Black,63,Montgomery,23990194,Property,"THEFT PROP >=$2,500<$30K",01/18/2022,12/12/2021,9 to 10 Months
09/03/2021,Parole,G2,M,Hispanic,56,Bexar,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",04/05/1993,09/19/1991,31 to 40 Years
10/18/2021,SAFPF - Prob,FT,M,Hispanic,56,Dallas,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",,09/04/2020,SAFPF
12/20/2021,DMS,G2,M,White,55,Tarrant,23990010,Property,THEFT PROP >=$20K<$100K,01/04/2016,04/12/2015,6 Years
04/13/2022,Parole,G1,M,White,56,Hays,23990209,Property,THEFT PROP <$2500 2+ CONV ENH IAT,01/13/2020,11/05/2017,6 Years
05/13/2022,Discharge,J2,M,Black,56,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/08/2021,08/19/2021,8 to 9 Months
04/21/2022,Parole,G2,M,White,59,McLennan,23990194,Property,"THEFT PROP >=$2,500<$30K",10/16/2017,05/14/2016,11 to 15 Years
10/27/2021,Parole,G2,M,White,64,Brazoria,23990010,Property,THEFT PROP >=$20K<$100K,11/09/2009,09/01/2007,11 to 15 Years
07/05/2022,Parole,G2,M,Black,57,Harrison,23990210,Property,THEFT MATER ALUM/BRNZ/CPPR/BRSS <$20K ENH IAT,06/17/2020,12/12/2019,6 Years
07/27/2022,Discharge,J2,M,Black,56,Dallas,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/14/2022,02/08/2022,6 to 7 Months
11/19/2021,Discharge,MH,M,White,56,Denton,23990194,Property,"THEFT PROP >=$2,500<$30K",07/01/2021,02/25/2018,11 to 12 Months
06/03/2022,Discharge,J2,M,Black,58,Brazos,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/13/2022,07/14/2019,6 Months & Less
11/23/2021,Discharge,J2,F,Black,52,Tarrant,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",06/07/2021,02/06/2021,6 Months & Less
06/16/2022,Parole,G2,M,Black,56,Midland,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",08/08/2019,03/03/2019,7 Years
07/20/2022,MS,G1,M,White,56,Tarrant,23170000,Property,"LARCENY-THEFT, OF CREDIT CARD",10/11/1994,09/29/1994,21 to 25 Years
12/28/2021,Discharge,J2,M,Black,72,Milam,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,07/20/2018,08/10/2017,23 to 24 Months & More
08/02/2022,Parole,G2,M,Hispanic,57,Hidalgo,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/19/2021,09/05/2021,2 Years & Less
05/31/2022,Parole,G2,M,Black,54,Tarrant,23990010,Property,THEFT PROP >=$20K<$100K,05/14/2007,08/24/2006,16 to 20 Years
12/27/2021,Discharge,J2,M,Black,64,Victoria,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",09/16/2015,08/19/2014,9 to 10 Months
12/30/2021,Discharge,J2,M,Black,56,Ector,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",11/06/2020,05/07/2020,19 to 20 Months
10/18/2021,DMS,G2,M,White,54,Dallas,23990198,Property,THEFT PROP >=$30K<$150K,02/26/2021,06/27/2020,2 Years & Less
01/07/2022,Discharge,J1,M,White,56,Lamar,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/22/2020,11/21/2019,23 to 24 Months & More
12/02/2021,Discharge,J2,M,Black,54,Collin,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",05/24/2021,03/29/2021,6 Months & Less
01/19/2022,DMS,OT,M,White,55,Gregg,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/09/2020,06/13/2019,3 Years
03/16/2022,DMS,OT,M,Black,58,Kaufman,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",03/04/2021,06/16/2019,4 Years
10/29/2021,Discharge,J2,M,Black,54,Harris,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",10/01/2021,07/17/2020,12 to 13 Months
12/17/2021,DMS,G2,M,White,54,Van Zandt,23990208,Property,THEFT PROP >=$2500<$30K ENH IAT,04/24/2018,09/20/2017,10 Years
10/22/2021,Discharge,J2,M,Black,54,Collin,23990194,Property,"THEFT PROP >=$2,500<$30K",05/14/2021,01/26/2021,8 to 9 Months
03/10/2022,DMS,G2,M,Black,58,Denton,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,10/21/2021,10/02/2019,3 Years
10/28/2021,Discharge,J2,M,Black,55,Harris,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",06/10/2021,06/07/2021,6 Months & Less
02/18/2022,Parole,OT,M,White,59,Montgomery,23990010,Property,THEFT PROP >=$20K<$100K,09/25/2014,09/27/2013,10 Years
07/26/2022,Discharge,J2,M,Black,58,Harris,23990132,Property,THEFT FROM PERSON,01/11/2022,10/08/2021,11 to 12 Months
03/07/2022,Discharge,J2,M,White,54,Tarrant,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,10/21/2021,08/10/2021,6 to 7 Months
12/13/2021,Parole,G2,M,Black,58,Jefferson,23990009,Property,"THEFT PROP<$1,500  2/MORE PREV CONVIC",02/06/2017,07/20/2014,5 Years
04/26/2022,Discharge,J2,F,Black,55,Bell,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/28/2022,11/29/2020,11 to 12 Months
07/18/2022,DMS,G2,F,Hispanic,56,Comal,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",04/19/2022,06/26/2019,2 Years & Less
12/22/2021,Discharge,J2,M,White,59,Johnson,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,09/20/2021,08/19/2016,19 to 20 Months
09/08/2021,Parole,G2,M,Black,53,Dallas,23990004,Property,"THEFT PROP>=$1,500<$20K",04/06/2006,07/31/2005,16 to 20 Years
09/07/2021,Discharge,J2,M,Black,55,Brazoria,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",07/12/2021,09/03/2019,14 to 15 Months
11/24/2021,Discharge,J2,M,Hispanic,71,Bexar,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",08/13/2021,03/08/2020,9 to 10 Months
05/06/2022,Discharge,J2,M,Hispanic,57,Bexar,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/19/2021,07/20/2021,11 to 12 Months
