Release Date,Release Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
02/07/2022,DMS,G2,M,White,38,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/24/2020,01/15/2020,3 Years
05/20/2022,DMS,G1,M,White,40,Gregg,23990194,Property,"THEFT PROP >=$2,500<$30K",12/09/2020,11/04/2019,4 Years
12/01/2021,DMS,G2,M,White,41,Harris,23990198,Property,THEFT PROP >=$30K<$150K,05/18/2020,04/10/2020,2 Years & Less
05/19/2022,DMS,G2,M,White,41,Caldwell,23990194,Property,"THEFT PROP >=$2,500<$30K",03/16/2022,09/20/2020,3 Years
10/21/2021,Discharge,J2,M,Hispanic,37,Webb,23990194,Property,"THEFT PROP >=$2,500<$30K",11/01/2019,01/17/2019,14 to 15 Months
08/05/2022,Discharge,J2,M,Hispanic,39,Midland,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",07/08/2021,01/01/2021,23 to 24 Months & More
09/16/2021,Parole,G2,M,Hispanic,37,Denton,23990194,Property,"THEFT PROP >=$2,500<$30K",03/04/2020,03/10/2019,3 Years
10/11/2021,SAFPF - Prob,FT,F,Black,39,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",,11/05/2016,SAFPF
10/06/2021,Discharge,J2,M,Black,44,Bowie,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/03/2020,07/02/2020,11 to 12 Months
01/21/2022,Discharge,J2,M,Hispanic,38,McLennan,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/14/2021,09/14/2020,6 Months & Less
03/14/2022,Parole,IT,M,White,41,Randall,23990194,Property,"THEFT PROP >=$2,500<$30K",09/28/2017,11/14/2016,11 to 15 Years
02/16/2022,Discharge,J2,F,Black,43,Tarrant,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",09/29/2021,07/26/2021,6 Months & Less
05/04/2022,DMS,G2,F,Hispanic,38,Bexar,23990209,Property,THEFT PROP <$2500 2+ CONV ENH IAT,09/04/2020,03/06/2020,4 Years
02/22/2022,Parole,IT,M,White,41,Washington,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,10/19/2017,07/21/2017,11 to 15 Years
07/19/2022,Discharge,J2,M,White,37,Potter,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",04/20/2022,11/24/2021,7 to 8 Months
06/08/2022,Discharge,J2,M,White,36,Young,23990194,Property,"THEFT PROP >=$2,500<$30K",10/05/2021,03/11/2021,14 to 15 Months
04/22/2022,DMS,G2,M,Hispanic,40,Lubbock,23990198,Property,THEFT PROP >=$30K<$150K,10/04/2021,01/07/2020,2 Years & Less
01/04/2022,Discharge,J2,M,Hispanic,38,Potter,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,03/09/2021,10/26/2019,11 to 12 Months
04/19/2022,Discharge,J2,F,White,53,Hill,23990194,Property,"THEFT PROP >=$2,500<$30K",07/15/2021,11/15/2019,13 to 14 Months
08/02/2022,Discharge,J2,F,White,43,Grayson,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/21/2021,05/23/2021,6 Months & Less
01/24/2022,DMS,G2,M,Hispanic,46,Bell,23990194,Property,"THEFT PROP >=$2,500<$30K",12/10/2019,04/21/2019,6 Years
05/09/2022,DMS,G2,M,White,43,Tarrant,23990198,Property,THEFT PROP >=$30K<$150K,10/14/2020,08/20/2020,2 Years & Less
02/28/2022,Discharge,J2,M,White,34,Harris,23990197,Property,THEFT OF MATERIAL ALUM/BRNZ/COPPER/BRASS <$20K,08/20/2021,03/22/2021,9 to 10 Months
08/26/2022,Discharge,J2,M,White,40,Montgomery,23990194,Property,"THEFT PROP >=$2,500<$30K",03/30/2022,09/03/2021,6 Months & Less
09/30/2021,Discharge,J2,M,Hispanic,46,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",08/06/2021,01/06/2021,8 to 9 Months
02/18/2022,DMS,G2,M,White,41,Leon,23990198,Property,THEFT PROP >=$30K<$150K,03/22/2021,11/02/2017,4 Years
10/06/2021,Discharge,J2,M,White,35,McLennan,23990194,Property,"THEFT PROP >=$2,500<$30K",11/13/2020,03/12/2019,14 to 15 Months
08/26/2022,Discharge,G2,M,Black,36,Brazos,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",01/23/2020,07/08/2019,3 Years
05/12/2022,Discharge,J2,M,White,54,Dallas,23990194,Property,"THEFT PROP >=$2,500<$30K",08/24/2021,10/13/2016,9 to 10 Months
12/22/2021,Parole,G2,M,Black,44,Smith,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",10/12/2018,05/27/2018,8 Years
12/21/2021,DMS,G2,M,Hispanic,34,Gray,23990180,Property,"THEFT OF SERV >=$2,500<$30K",11/03/2021,01/19/2018,2 Years & Less
08/11/2022,Discharge,J2,M,Hispanic,42,San Patricio,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",12/14/2021,02/26/2020,14 to 15 Months
05/17/2022,DMS,XX,M,Hispanic,40,Nueces,23990004,Property,"THEFT PROP>=$1,500<$20K",11/06/2014,11/13/2013,8 Years
08/11/2022,DMS,CG,M,Hispanic,43,Nueces,23990196,Property,"THEFT PROP <$2,500 2/MORE PREV CONV",06/07/2018,01/19/2018,5 Years
10/01/2021,Discharge,RP,M,White,44,Johnson,23990157,Property,THEFT PROP $1500<$20K ENH,10/28/2013,10/30/2012,8 Years
09/03/2021,Discharge,J2,M,Hispanic,37,Uvalde,23990196,Property,"THEFT PROP <$2,500  2/MORE PREV CONV",11/18/2020,10/25/2019,14 to 15 Months
